symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker
BTCUSDT,7109051381,884375908321,BUY,95697.90,0.313,0,29953.44270,14.97672135,USDT,2026-01-16 09:10:17.000,LONG,True,False
CLOUSDT,74167030,517377765,BUY,0.6607000,9,0,5.9463000,0.00297315,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167031,517377765,BUY,0.6607000,16,0,10.5712000,0.00528560,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167032,517377765,BUY,0.6607000,200,0,132.1400000,0.06607000,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167033,517377765,BUY,0.6607000,1147,0,757.8229000,0.37891145,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167034,517377765,BUY,0.6607000,8,0,5.2856000,0.00264280,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167035,517377765,BUY,0.6607000,95,0,62.7665000,0.03138325,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167036,517377765,BUY,0.6607000,44,0,29.0708000,0.01453540,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167037,517377765,BUY,0.6607000,317,0,209.4419000,0.10472095,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167038,517377765,BUY,0.6608000,16,0,10.5728000,0.00528640,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167039,517377765,BUY,0.6608000,9,0,5.9472000,0.00297360,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167040,517377765,BUY,0.6608000,200,0,132.1600000,0.06608000,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167041,517377765,BUY,0.6608000,120,0,79.2960000,0.03964800,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167042,517377765,BUY,0.6608000,8,0,5.2864000,0.00264320,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167043,517377765,BUY,0.6608000,412,0,272.2496000,0.13612479,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167044,517377765,BUY,0.6608000,407,0,268.9456000,0.13447280,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167045,517377765,BUY,0.6608000,155,0,102.4240000,0.05121200,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167046,517377765,BUY,0.6609000,16,0,10.5744000,0.00528720,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167047,517377765,BUY,0.6609000,9,0,5.9481000,0.00297405,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167048,517377765,BUY,0.6609000,15,0,9.9135000,0.00495675,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167049,517377765,BUY,0.6609000,200,0,132.1800000,0.06609000,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167050,517377765,BUY,0.6609000,117,0,77.3253000,0.03866265,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167029,517377765,BUY,0.6607000,27,0,17.8389000,0.00891945,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167028,517377765,BUY,0.6606000,300,0,198.1800000,0.09909000,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167027,517377765,BUY,0.6606000,80,0,52.8480000,0.02642400,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167026,517377765,BUY,0.6606000,357,0,235.8342000,0.11791710,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167004,517377765,BUY,0.6604000,200,0,132.0800000,0.06604000,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167005,517377765,BUY,0.6605000,95,0,62.7475000,0.03137375,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167006,517377765,BUY,0.6605000,81,0,53.5005000,0.02675025,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167007,517377765,BUY,0.6605000,14,0,9.2470000,0.00462350,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167008,517377765,BUY,0.6605000,9,0,5.9445000,0.00297225,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167009,517377765,BUY,0.6605000,200,0,132.1000000,0.06605000,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167010,517377765,BUY,0.6605000,132,0,87.1860000,0.04359300,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167011,517377765,BUY,0.6605000,11,0,7.2655000,0.00363275,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167012,517377765,BUY,0.6605000,37,0,24.4385000,0.01221925,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167013,517377765,BUY,0.6605000,37,0,24.4385000,0.01221925,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167051,517377765,BUY,0.6609000,409,0,270.3081000,0.13515405,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167014,517377765,BUY,0.6605000,71,0,46.8955000,0.02344775,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167016,517377765,BUY,0.6606000,16,0,10.5696000,0.00528480,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167017,517377765,BUY,0.6606000,117,0,77.2902000,0.03864510,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167018,517377765,BUY,0.6606000,9,0,5.9454000,0.00297270,USDT,2026-01-16 12:32:23.584,LONG,True,False
CLOUSDT,74167019,517377765,BUY,0.6606000,8,0,5.2848000,0.00264240,USDT,2026-01-16 12:32:23.584,LONG,True,False
